               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12392,            0.027773,                   0,           5.848e-05,           0.0096154,          2.9634e-05,          8.8902e-06,             0.12056,            0.022041,                   0,              0.0712,              0.0032,              0.0032
                   1,              0.1035,            0.024978,                   0,             0.20776,             0.31772,             0.13911,            0.032763,            0.090889,            0.018324,                   0,            0.041243,           0.0062426,           0.0062426
                   2,            0.087939,            0.020567,                   0,             0.14404,             0.61538,             0.11454,            0.031235,             0.10092,            0.017448,                   0,            0.011024,           0.0090238,           0.0090238
                   3,            0.074863,            0.019957,                   0,             0.35819,             0.48077,             0.33475,            0.093011,            0.081265,            0.018402,                   0,            0.008812,            0.008812,            0.008812
                   4,            0.070402,            0.017636,                   0,             0.63921,             0.68144,             0.68442,             0.23192,            0.071696,            0.017963,                   0,            0.008812,            0.008812,            0.008812
                   5,            0.062041,            0.015805,                   0,             0.87598,             0.67918,             0.83233,             0.34053,            0.066876,            0.013408,                   0,            0.008416,            0.008416,            0.008416
                   6,            0.057274,            0.014593,                   0,             0.70503,             0.78846,              0.7915,             0.31623,             0.05744,            0.013396,                   0,             0.00802,             0.00802,             0.00802
                   7,            0.054763,            0.014423,                   0,             0.80903,             0.81731,             0.85598,             0.36014,            0.058386,            0.011685,                   0,            0.007624,            0.007624,            0.007624
                   8,            0.052019,            0.012933,                   0,             0.90204,             0.79685,             0.91117,             0.40712,            0.052087,            0.011924,                   0,            0.007228,            0.007228,            0.007228
                   9,            0.047845,            0.012318,                   0,             0.87785,             0.82692,             0.88786,             0.43157,            0.052251,            0.011207,                   0,            0.006832,            0.006832,            0.006832
                  10,            0.048829,            0.012079,                   0,              0.9267,             0.85098,             0.91458,             0.39816,             0.04665,            0.010594,                   0,            0.006436,            0.006436,            0.006436
                  11,            0.046056,            0.011872,                   0,             0.93459,             0.84615,             0.89038,             0.34286,            0.043838,             0.01154,                   0,             0.00604,             0.00604,             0.00604
                  12,            0.043104,            0.011733,                   0,             0.82366,             0.85333,             0.83846,             0.33724,            0.042993,            0.011156,                   0,            0.005644,            0.005644,            0.005644
                  13,            0.044428,            0.010792,                   0,             0.88238,             0.86561,             0.90278,              0.3749,             0.04163,            0.010864,                   0,            0.005248,            0.005248,            0.005248
                  14,            0.043225,            0.010986,                   0,             0.89935,             0.92308,             0.95219,             0.43496,            0.042704,            0.010223,                   0,            0.004852,            0.004852,            0.004852
                  15,            0.041756,            0.010619,                   0,              0.8912,             0.86639,              0.9109,             0.40829,            0.041035,            0.010115,                   0,            0.004456,            0.004456,            0.004456
                  16,            0.040469,            0.010791,                   0,             0.91563,             0.88462,             0.95526,              0.4669,            0.043636,           0.0099387,                   0,             0.00406,             0.00406,             0.00406
                  17,            0.037833,            0.010709,                   0,             0.91605,             0.91346,             0.96562,             0.43894,            0.042531,           0.0099429,                   0,            0.003664,            0.003664,            0.003664
                  18,            0.039466,             0.01071,                   0,             0.89463,             0.89801,             0.93449,             0.41753,            0.039617,             0.01017,                   0,            0.003268,            0.003268,            0.003268
                  19,            0.037729,            0.010558,                   0,             0.89693,               0.875,             0.90507,             0.41011,            0.041388,            0.010282,                   0,            0.002872,            0.002872,            0.002872
                  20,            0.036343,            0.010389,                   0,             0.92194,             0.90857,             0.92563,             0.41553,            0.040883,            0.010013,                   0,            0.002476,            0.002476,            0.002476
                  21,            0.034138,            0.010195,                   0,             0.93103,             0.90859,             0.91819,              0.4172,            0.039043,           0.0097989,                   0,             0.00208,             0.00208,             0.00208
                  22,            0.035864,            0.010186,                   0,              0.9402,              0.9071,             0.93878,             0.41456,            0.038587,            0.010059,                   0,            0.001684,            0.001684,            0.001684
                  23,            0.033432,            0.010105,                   0,             0.91038,             0.87912,             0.90148,             0.41085,            0.041127,            0.010085,                   0,            0.001288,            0.001288,            0.001288
                  24,            0.034657,            0.010493,                   0,             0.92936,             0.88551,              0.9267,             0.42911,            0.038252,            0.010067,                   0,            0.000892,            0.000892,            0.000892
